frame,x,y,z,roll,pitch,yaw
0,0.0,0.0,0.0,0.0,-0.0,0.0
1,0.0029714924316110547,0.0030056683307728474,0.6848458152686042,-0.0003951203195378255,0.0017885560266413761,0.0005098171546701844
2,0.0005507706205262371,0.005621857747358303,1.3747733416512236,-0.0006489476233687168,0.003976680986583005,0.0012536177570462478
3,0.0007488422146949816,0.00933324766443524,2.0638165296648374,-0.001132927346789503,0.005852809534670269,0.001833495144120747
4,-0.0009680326256683613,0.013402788895561884,2.7540422378494696,-0.0017090065614530036,0.007279511902270786,0.0024923916746590045
5,0.0012916538163526856,0.016171570364336703,3.445861166811441,-0.0015906132866569261,0.00809678047609293,0.0020118275595481447
6,-0.001886024409531841,0.02065101661505887,4.135435946013813,-0.0016673231362292161,0.008673950142759838,0.0019764088679642762
7,0.0024327982210646066,0.024441124907960084,4.827090818777387,-0.001358769026852818,0.008424508911878865,0.004010152622271042
8,0.01086720849934323,0.027968565735846773,5.522539603795709,-0.0020223803022304063,0.007381177365449969,0.005403770503993331
9,0.01577198233945179,0.03299165824928289,6.216678670023837,-0.002784583521954903,0.006138713478047126,0.004938167141127469
10,0.016370871764465382,0.03692953851620401,6.905074175719543,-0.0038615586811025955,0.004948023741349578,0.0039426202834502875
11,0.026541999222202795,0.040951424720720664,7.599776967063668,-0.004625614544642759,0.003346320973456141,0.0033550035213189802
12,0.030613880369463206,0.04561600053481961,8.285262276965748,-0.005260842384199401,0.001808752938605607,0.0033365242241939577
13,0.03751205332950156,0.05056278562585879,8.972324042062816,-0.0052682574256803115,0.00021977743213384536,0.003711563540071434
14,0.042069310368184,0.05710798108481018,9.652616887364028,-0.00561965529956545,-0.0013526691817672659,0.0024415464399380367
15,0.03666597714349019,0.06215596752939416,10.332238908151432,-0.005922481969420442,-0.0026935784521387954,0.0006390587634182897
16,0.038323625771501106,0.06644456305256351,11.01539697062397,-0.006188647972666149,-0.004339131461874271,-0.0008957681633543991
17,0.03744079685649283,0.06994884822247198,11.697481828623971,-0.0062914323641803625,-0.005888629075431181,-0.002255744891488129
18,0.03165352901791961,0.07414021388061029,12.37612995329489,-0.005195618278798597,-0.007351752827654939,-0.0024180120924561016
19,0.02308903637040701,0.07946392581699055,13.064873769262116,-0.0037897173279168523,-0.008462173361686318,-0.001544032048726606
20,0.015136111281170936,0.08421866182980338,13.751191205790093,-0.0024949783311420497,-0.009605981699553408,-0.0019225437584139068
21,0.009211238695895275,0.0902307085631891,14.437521013254239,-0.0022246416098941333,-0.010884530026909686,-0.002971402531510024
22,0.0010868041462569842,0.0947944662225146,15.124711536027988,-0.0022358607614829914,-0.012002428338415624,-0.0031499042474763816
23,-0.0016583411780133625,0.09946846703324247,15.813293927540869,-0.0034371962301779566,-0.013291039111520467,-0.0030491270072953015
24,-0.004056188859958567,0.10491039864972315,16.49919337290371,-0.004325160577069103,-0.014739357349259838,-0.0030126322034697284
25,-0.0127761649560601,0.10990486612841627,17.188852851857217,-0.00449595068975874,-0.0158500057663492,-0.003045672434661044
26,-0.021700832814893156,0.1151067182469462,17.87546924407373,-0.004248523559034686,-0.017190261217314325,-0.0042033252502626664
27,-0.031775926945836676,0.12209405945322835,18.564833303128406,-0.003425668438119236,-0.01852819632425946,-0.00397219646641599
28,-0.03697016724796518,0.12988970254249493,19.254771737890657,-0.0030588550982890454,-0.019945683538786063,-0.004583834126314949
29,-0.05251769730750187,0.13574167388411168,19.94029676020136,-0.003090805933156313,-0.020521016837971875,-0.005259531361073362
30,-0.0681339557480353,0.1412048894745032,20.621335490425466,-0.0029410779598048253,-0.020976391319682968,-0.005933496238132086
31,-0.07821130622035252,0.1450758792472977,21.29652581198929,-0.0028710578332109492,-0.021099278347906786,-0.005740791360715712
32,-0.08517433535352648,0.14935053697241638,21.96556843638229,-0.0029231103518121897,-0.02116815867467318,-0.005741287707552917
33,-0.09184866610236565,0.15359638170169015,22.630141449623256,-0.0023461171488310226,-0.020851502403058275,-0.005166277539113337
34,-0.10309023691802764,0.15852107539165478,23.311693876806622,-0.0020142723494918483,-0.019992062795748205,-0.0053039540951649155
35,-0.12036069581923377,0.1630477684563816,23.984766037747857,-0.0015916511783568232,-0.01882321460371006,-0.005549810982343654
36,-0.13846287328352178,0.1664693246883075,24.66003855871271,-0.0014382083615432834,-0.01755041314246213,-0.0051519188918513455
37,-0.15070915750068012,0.16840445615849575,25.322203683312587,-0.0015996152219683517,-0.016208796327988176,-0.00519339112459159
38,-0.15838917677767045,0.17060166755078376,25.97585415489681,-0.0019090901597413168,-0.014832770561900093,-0.004815368992496041
39,-0.16243371786428315,0.17289496815176253,26.62361880065962,-0.002519367310480306,-0.01349732451129998,-0.003768352185982154
40,-0.16734901761892923,0.17450810853495433,27.26793819716946,-0.003401064709355961,-0.01124352966604171,-0.003480354575718402
41,-0.17599759745683788,0.1785003267987713,27.914460131122336,-0.004253895490270928,-0.007499705469710668,-0.004689371861771347
42,-0.18580557153954955,0.1836685930358413,28.564778651779665,-0.00508302042388351,-0.002668651914774769,-0.005413696130376257
43,-0.1844361621167869,0.18638847442949008,29.205538168732552,-0.005867332239492772,0.0024389744751968914,-0.004428246630334514
44,-0.17817085885930042,0.19097199566576717,29.85229609939371,-0.006408582637841406,0.007095345694882461,-0.003911922207604752
45,-0.169745282641729,0.19326469231340712,30.49056196179022,-0.006407864979963841,0.011336038265329538,-0.003019775806614
46,-0.15335319912221507,0.1997403987850719,31.142919803784302,-0.005613334388394889,0.015443063342542288,-0.0022576766067928323
47,-0.14280114828620533,0.20594495986034708,31.79037351499344,-0.004360755632726506,0.01974955280889926,-0.0012685400995407874
48,-0.12489349704371293,0.21107345676891526,32.421362989980054,-0.0030254057401384775,0.02362783809230484,-0.0012650240896593958
49,-0.10100909286157361,0.2175492121691729,33.04921146870818,-0.002174868249390736,0.02782990204680476,-0.00033652092171633253
50,-0.08885717507369943,0.22250395433246026,33.68045559051729,-0.0016669567077473397,0.03198313210047302,-0.0009863713658118088
51,-0.061939217127600026,0.22513733868684388,34.29366429303194,-0.0011016652939159395,0.035713744317263776,-0.0003083150009941791
52,-0.03216904163235029,0.22657987664410376,34.91280281532014,-0.00034714657767815705,0.03947067668326118,0.0006249156772834985
53,-0.005443851446580238,0.22673890517910678,35.51063482988009,0.00022644241429110735,0.043841213924665334,0.0015570680604425474
54,0.021884079313135844,0.2296388240589109,36.105433900796555,0.0012628381228702021,0.04843639446878793,0.0022455418528476664
55,0.05333441177250539,0.23092501847433886,36.68431207498006,0.001741626961972153,0.05389978446125321,0.003453324712235781
56,0.0919890122644264,0.2305319880129993,37.25587354876946,0.0023031838842735995,0.059571928901999076,0.003410266687346175
57,0.1293690594774282,0.23568914192217455,37.838393700850816,0.0024647939767060566,0.06568314328724517,0.0034043647210381433
58,0.18071023024074553,0.23628677135549872,38.38179436057567,0.0026936858388201747,0.0715955676970564,0.003652998282452778
59,0.22593444305859914,0.23403277032665057,38.90029017346734,0.0029420118744728514,0.07822077696497966,0.004848024264488902
60,0.27843953606336497,0.23411057401212176,39.407399498914394,0.0029286748628471223,0.08454484745947917,0.005648866538256155
61,0.3335624267410024,0.23472208685153653,39.8986425070288,0.00307971799810862,0.0909778248137448,0.006543954363795435
