match_id,u_i,v_i,u_j,v_j
0,453.3170471191406,131.1263885498047,485.8660583496094,130.15066528320312
1,22.814128875732422,253.9147186279297,63.98128890991211,251.7682342529297
2,587.2330322265625,163.75779724121094,619.0349731445312,162.35873413085938
3,545.2029418945312,147.22299194335938,576.4933471679688,145.77468872070312
4,488.6830749511719,213.90335083007812,519.6288452148438,213.4286651611328
5,258.5107116699219,73.6368179321289,296.0173645019531,73.90486145019531
6,283.33721923828125,87.95243072509766,319.21234130859375,87.93783569335938
7,417.6920471191406,207.54409790039062,448.7351989746094,206.67852783203125
8,465.0652160644531,229.82884216308594,495.9718933105469,229.2761688232422
9,380.4383850097656,223.4740447998047,412.4236145019531,222.27268981933594
10,422.17095947265625,213.73068237304688,453.14642333984375,212.8866424560547
11,399.3420715332031,113.13270568847656,431.8159484863281,112.52507781982422
12,688.161376953125,175.68734741210938,725.9652099609375,174.10264587402344
13,738.9649658203125,203.13951110839844,779.5781860351562,202.65185546875
14,531.7889404296875,222.61190795898438,563.8357543945312,222.24659729003906
15,175.11680603027344,27.373342514038086,212.31410217285156,27.909303665161133
16,563.5037841796875,215.40167236328125,595.8806762695312,215.32928466796875
17,467.1182861328125,132.0780487060547,499.29547119140625,130.6678466796875
18,495.2688903808594,118.42034149169922,527.1519775390625,117.13887023925781
19,605.640625,97.46187591552734,638.4932861328125,95.91985321044922
20,541.1350708007812,229.77337646484375,573.2012329101562,229.5954132080078
21,699.0775146484375,163.94915771484375,737.7308349609375,161.8657989501953
22,665.2100830078125,83.76625061035156,697.5922241210938,81.25567626953125
23,665.2100830078125,83.76625061035156,697.5922241210938,81.25567626953125
24,442.81512451171875,224.4647674560547,473.4766845703125,224.11106872558594
25,649.5310668945312,201.52581787109375,685.5057983398438,201.0039825439453
26,516.1298828125,119.4293212890625,547.8497924804688,117.7680892944336
27,503.1666564941406,214.05638122558594,534.3795166015625,213.54129028320312
28,1075.96435546875,230.615478515625,1141.1566162109375,232.14085388183594
29,448.6637878417969,199.727783203125,479.8332214355469,198.75418090820312
30,547.7008056640625,226.11724853515625,579.9334716796875,225.9379425048828
31,415.4296875,202.27064514160156,446.4911193847656,201.37684631347656
32,368.0148620605469,198.94955444335938,400.1132507324219,197.818603515625
33,236.2093963623047,221.51510620117188,271.8664855957031,220.09471130371094
34,612.3283081054688,255.158203125,646.275390625,256.03729248046875
35,681.2771606445312,294.1794128417969,720.8021240234375,298.6498718261719
36,242.3739471435547,83.72777557373047,279.6724853515625,84.17244720458984
37,830.4708862304688,302.0245361328125,880.0400390625,308.2280578613281
38,426.9903869628906,130.96636962890625,459.3687438964844,129.859619140625
39,370.59423828125,96.00113677978516,403.93927001953125,95.68307495117188
40,537.9725341796875,235.16004943847656,569.8479614257812,235.43260192871094
41,699.0775146484375,163.94915771484375,737.7308349609375,161.8657989501953
42,824.0382080078125,221.80299377441406,872.3497314453125,222.9500274658203
43,656.9232788085938,267.7870178222656,693.7623901367188,269.80224609375
